git_label_serial_number,class_name,code_len,calc_comments_number,entropy,time_from_intro,time_from_last_fix,has_unit_test,num_of_fixes
261,SelinuxMode,125,0,5.97866485385,383,59,0,0
261,VmsDiagnostics,21,0,4.2018412323,483,483,0,0
261,OsdHostsVsCephHosts,134,0,5.98985094975,637,133,0,0
261,OperationsBlocker,148,5,6.22684578478,430,241,0,0
261,validate_cpu_pinning_config,91,0,5.41885415745,417,241,0,0
261,PerVmInformator,72,0,5.29465347354,496,241,0,0
261,VmsVcpuInfo,38,0,4.78451592201,485,472,0,0
261,clock_clock_synchronized,91,0,5.61374797606,519,241,0,0
261,check_galera_is_synced,16,0,3.75,625,3,0,0
261,OvsInfo,37,0,4.39864255482,485,483,0,0
261,CheckMonCount,25,0,4.24385618977,501,501,0,0
261,validate_no_ntp_in_cbis_21,88,0,5.4242772558,519,241,0,0
261,IsOsdSystemctlValid,134,0,5.91612873717,573,430,0,0
261,VerifyOsdOpNumThreadsPerShardSSD,105,0,6.08516220524,488,30,0,0
261,GuestValidator,170,0,6.18487986706,591,591,0,0
261,CPU_affinity_base,463,7,7.07352835353,417,232,0,0
261,CheckSrvDirOwner,87,0,5.38083282925,357,241,0,0
261,FSIdNovaSecretMultiplePoolsValidator,91,0,5.45022506924,30,30,0,0
261,RabbitMQCheckOnControllers,44,0,4.78553424467,185,185,0,0
261,VCPU,39,0,4.90707177009,591,591,0,0
261,TooManyProcessesCheck,289,1,6.84803297362,268,232,0,0
261,pre_installed_applications_check,128,3,6.07031586465,470,241,0,0
261,CephSizeConfigValidator,14,0,3.6644977792,30,30,0,0
261,ValidateHttpdServiceUC,58,0,5.18178649601,71,33,0,0
261,RabbitMQDirectoryNotLarge,74,0,5.28730700134,455,35,0,0
261,IsOSDsUp,65,0,5.17184146664,637,30,0,0
261,SpaceNotInAvailabilityZone,75,0,5.69548535716,35,35,0,0
261,Filesystem_is_not_btrfs,51,0,5.15743195949,217,217,0,0
261,NCSKeyringConfigCheck,8,0,3.0,30,30,0,0
261,SystemCheckDentryCache,51,0,4.98057803775,232,37,0,0
261,heketi_pod_status,103,3,5.95815538147,327,92,0,0
261,CheckMariadbConnectTimeout,92,1,5.59064689828,251,251,0,0
261,IsCephConfExist,87,0,5.67594285271,637,241,0,0
261,ValidationNetworkMaskCheck,210,15,6.80570271995,343,213,0,0
261,CephKeysConfigValidator,132,0,6.18447158145,30,30,0,0
261,StorageTemplateConfigValidator,21,0,3.74899480353,30,30,0,0
261,ComputeRouteInfo,31,0,4.26033260057,485,241,0,0
261,CephHasConfFile,43,0,4.7285903361,540,30,0,0
261,SystemPodsReadyAndRunning,198,0,6.33150047336,647,200,0,0
261,FSIDCephConfValidator,31,0,4.49404590695,30,30,0,0
261,VmsVirshXML,30,0,4.6150610122,485,485,0,0
261,IsNuageVersionUniform,97,1,5.65807525006,589,302,0,0
261,FluentdDaemonSetReplicasAllRunning,165,9,6.3994271157,345,283,0,0
261,CheckMultipleMondirs,76,0,5.40267973769,510,449,0,0
261,PCIInfo,62,0,5.17913586192,483,483,0,0
261,CbisSystemCheckGnocchiCeilometer,128,1,6.1154286577,579,93,0,0
261,base_config_validator,146,0,5.79727686236,630,69,0,0
261,IsSmartTestPassed,284,0,6.74260899531,519,241,0,0
261,check_haproxy,69,0,5.52114293485,449,177,0,0
261,MySQLDirectoryNotLarge,78,0,5.37420609305,35,35,0,0
261,CephConfServiceNameValid,86,0,5.55215820489,512,30,0,0
261,glusterFsInstalledStatus,90,6,5.70274698512,327,92,0,0
261,ValidateHasAllBasicDaemonsets,92,2,5.48786399394,647,241,0,0
261,TooManyOpenFilesCheck,281,3,6.94204427249,519,241,0,0
261,validate_no_overlap,81,0,5.403130213,417,63,0,0
261,TemplateOpenStackKeyringCheck,25,2,4.32385618977,30,30,0,0
261,ComputeHypervisorInfo,36,0,4.40182821104,472,241,0,0
261,FSIDPuppetConfValidator,55,0,4.9020046594,30,30,0,0
261,FluentdDaemonSetRunningInAllNodesOrNot,170,9,6.54728951691,345,283,0,0
261,DomIfListInfo,60,0,5.08656924646,485,472,0,0
261,list_of_btel_components_installed,141,1,6.05492048001,345,232,0,0
261,CephOsdMemoryAllocation,86,0,5.77540233085,488,301,0,0
261,CephPaths,44,0,4.24800050707,534,224,0,0
261,CheckMdsCount,28,1,4.45021206491,501,447,0,0
261,check_success_flg_exist,82,0,5.89838756005,616,241,0,0
261,CorosyncConfDataCollector,21,2,3.97541801791,146,146,0,0
261,VmShowInfo,12,0,3.25162916739,485,472,0,0
261,UnifyHWCheck_on_storage,42,0,4.73394874529,519,241,0,0
261,heketi_db_pending_operation,100,4,6.0434651896,327,92,0,0
261,UnifyHWCheck_on_ncs_edges,46,0,4.78443152127,519,241,0,0
261,is_btel_installed_successfully,42,0,4.73732277982,345,241,0,0
261,FileTrackerCheck,80,0,5.72805590733,616,93,0,0
261,DuplicateIP,232,5,6.94800577638,457,163,0,0
261,TemplateFSIDCheck,17,0,3.73452166478,30,30,0,0
261,check_for_stale_allocations_in_novadb,360,11,6.57929934651,288,71,0,0
261,IpLinkInfo,39,0,4.41360734707,482,241,0,0
261,FSIdNovaSecretValidator,40,0,4.71281489547,30,30,0,0
261,ntpdate_checker,107,5,6.03694289308,519,241,0,0
261,ContainersNcmsPodsReadyAndRunning,203,1,6.36617136274,387,200,0,2
261,TlsCertificateExpiryValidator,257,0,6.67069240864,288,161,0,0
261,AreInstalledOSDsMatchCephConfigOnNCS,86,0,5.74244341392,414,15,0,0
261,computes_memory_check,501,112,6.16369001274,421,241,0,0
261,NetworkNetConf,100,0,5.33879200668,343,314,0,0
261,HasNovaConf,53,0,5.0864110206,321,241,0,0
261,CephValidation,44,0,4.45811670021,518,224,0,0
261,RpmdbVerify,49,0,5.08409759922,390,241,0,0
261,validate_dockers_not_exited,211,0,6.65998448923,625,34,0,0
261,TemplateAdminKeyringCheck,16,6,2.78063906223,30,30,0,0
261,MariadbBaseValidator,166,0,5.97948615496,48,48,0,0
261,FsidInfo,33,0,4.4531888162,30,30,0,0
261,FSIDConfigValidator,6,0,2.58496250072,30,30,0,0
261,InternalServiceNetworkCheck,56,3,5.24468036841,343,343,0,0
261,CephConfCrushLocationExists,265,0,6.6275554308,512,3,0,0
261,heketi_pod_value,105,6,6.1127097133,327,92,0,0
261,NetworkBondCheck,399,10,6.82907371921,580,58,0,0
261,is_keyboard_correct,62,18,4.28608053615,440,440,0,0
261,CephFSIDValidation,201,0,6.22163741693,30,30,0,0
261,DaemonsetsValidator,43,1,5.17615109186,647,400,0,0
261,UnifyHWCheck,125,0,6.17171723693,519,241,0,0
261,check_galera_is_synced_base,85,0,5.55804354818,616,3,0,0
261,FileTrackerUI,152,0,6.16413352599,86,86,0,0
261,OpaqueCertificateExpiryValidator,261,0,6.7182031321,288,161,0,0
261,are_host_connected,60,0,5.09806851206,547,241,0,0
261,VmFlavor,23,0,4.26269239084,472,252,0,0
261,ValidateAllDaemonsetsScheduled,131,5,6.27592262431,647,241,0,0
261,HostIPMI,47,0,5.01182768137,454,241,0,0
261,KeyringCephFSConfigCheck,6,0,2.58496250072,30,30,0,0
261,CephPoolSizeConfigCheck,35,0,4.42200051688,30,30,0,0
261,IsOSDsWeightOK,129,1,5.94338593133,637,205,0,0
261,check_galera_is_synced_docker,22,0,4.15239127763,616,3,0,0
261,validate_dockers_health,75,0,5.77548535716,625,232,0,0
261,heketi_db_inconsistency_check,201,9,7.04623760454,327,92,0,0
261,CephOsdTreeWorks,53,0,4.99669616207,540,30,0,0
261,FormattedConfigValidator,18,0,3.725480557,505,505,0,0
261,NodeAreReadyValidetor,187,2,6.19533211046,647,241,0,2
261,ValidateCephTempFilesCount,113,0,6.21195722832,573,439,0,0
261,VM,43,0,5.10068335935,591,591,0,0
261,CbisSystemCheckGnocchiCeilometerDocker,95,0,6.07281054571,579,177,0,0
